date;close
15/12/2020;589,17
16/12/2020;637,74
17/12/2020;643,16
18/12/2020;654,55
19/12/2020;658,70
20/12/2020;638,17
21/12/2020;607,90
22/12/2020;637,23
23/12/2020;585,25
24/12/2020;612,32
25/12/2020;626,83
26/12/2020;636,07
27/12/2020;683,98
28/12/2020;729,59
29/12/2020;731,55
30/12/2020;752,53
31/12/2020;737,15
1/01/2021;730,60
2/01/2021;774,90
3/01/2021;978,69
4/01/2021;1043,16
5/01/2021;1103,19
6/01/2021;1210,59
7/01/2021;1225,50
8/01/2021;1216,98
9/01/2021;1279,96
10/01/2021;1255,72
11/01/2021;1088,37
12/01/2021;1050,04
13/01/2021;1129,84
14/01/2021;1232,11
15/01/2021;1169,06
16/01/2021;1228,52
17/01/2021;1233,73
18/01/2021;1258,31
19/01/2021;1367,65
20/01/2021;1377,75
21/01/2021;1111,49
22/01/2021;1234,56
23/01/2021;1234,10
24/01/2021;1392,45
25/01/2021;1318,47
26/01/2021;1368,22
27/01/2021;1241,51
28/01/2021;1330,78
29/01/2021;1379,13
30/01/2021;1379,35
31/01/2021;1314,18
1/02/2021;1374,57
2/02/2021;1513,90
3/02/2021;1667,22
4/02/2021;1597,44
5/02/2021;1721,48
6/02/2021;1679,14
7/02/2021;1614,64
8/02/2021;1752,87
9/02/2021;1772,05
10/02/2021;1743,00
11/02/2021;1787,69
12/02/2021;1844,84
13/02/2021;1817,48
14/02/2021;1802,96
15/02/2021;1779,40
16/02/2021;1782,83
17/02/2021;1851,14
18/02/2021;1939,61
19/02/2021;1957,47
20/02/2021;1915,12
21/02/2021;1935,14
22/02/2021;1778,07
23/02/2021;1578,19
24/02/2021;1625,17
25/02/2021;1481,88
26/02/2021;1446,10
27/02/2021;1460,23
28/02/2021;1422,58
1/03/2021;1571,49
2/03/2021;1488,67
3/03/2021;1568,65
4/03/2021;1538,37
5/03/2021;1529,75
6/03/2021;1651,48
7/03/2021;1726,33
8/03/2021;1834,48
9/03/2021;1872,10
10/03/2021;1795,63
11/03/2021;1827,06
12/03/2021;1767,77
13/03/2021;1921,18
14/03/2021;1848,69
15/03/2021;1794,83
16/03/2021;1805,64
17/03/2021;1823,03
18/03/2021;1776,16
19/03/2021;1809,76
20/03/2021;1805,49
21/03/2021;1783,94
22/03/2021;1682,05
23/03/2021;1668,69
24/03/2021;1583,24
25/03/2021;1586,98
26/03/2021;1699,89
27/03/2021;1713,94
28/03/2021;1686,74
29/03/2021;1816,48
30/03/2021;1841,40
31/03/2021;1919,08
1/04/2021;1967,67
2/04/2021;2134,46
3/04/2021;2009,19
4/04/2021;2076,62
5/04/2021;2107,73
6/04/2021;2112,29
7/04/2021;1964,18
8/04/2021;2081,11
9/04/2021;2066,55
10/04/2021;2133,82
11/04/2021;2150,54
12/04/2021;2137,79
13/04/2021;2298,66
14/04/2021;2431,86
15/04/2021;2517,08
16/04/2021;2425,96
17/04/2021;2318,01
18/04/2021;2240,96
19/04/2021;2163,36
20/04/2021;2332,45
21/04/2021;2357,59
22/04/2021;2401,35
23/04/2021;2369,67
24/04/2021;2216,56
25/04/2021;2322,14
26/04/2021;2534,90
27/04/2021;2667,93
28/04/2021;2750,91
29/04/2021;2758,46
30/04/2021;2775,96
1/05/2021;2947,80
2/05/2021;2951,98
3/05/2021;3431,41
4/05/2021;3241,09
5/05/2021;3528,86
6/05/2021;3491,74
7/05/2021;3483,96
8/05/2021;3916,25
9/05/2021;3927,06
10/05/2021;3949,77
11/05/2021;4178,02
12/05/2021;3811,29
13/05/2021;3718,99
14/05/2021;4080,13
15/05/2021;3644,04
16/05/2021;3586,18
17/05/2021;3280,73
18/05/2021;3377,65
19/05/2021;2442,89
20/05/2021;2772,84
21/05/2021;2435,86
22/05/2021;2297,03
23/05/2021;2098,57
24/05/2021;2648,77
25/05/2021;2707,49
26/05/2021;2888,94
27/05/2021;2742,48
28/05/2021;2412,36
29/05/2021;2278,58
30/05/2021;2386,91
31/05/2021;2707,38
1/06/2021;2634,23
2/06/2021;2706,52
3/06/2021;2856,01
4/06/2021;2691,17
5/06/2021;2629,76
6/06/2021;2710,99
7/06/2021;2593,12
8/06/2021;2509,23
9/06/2021;2610,64
10/06/2021;2471,56
11/06/2021;2355,09
12/06/2021;2369,62
13/06/2021;2509,70
14/06/2021;2582,12
15/06/2021;2543,60
16/06/2021;2367,70
17/06/2021;2372,31
18/06/2021;2233,57
19/06/2021;2166,61
20/06/2021;2243,60
21/06/2021;1887,89
22/06/2021;1880,83
23/06/2021;1968,56
24/06/2021;1989,01
25/06/2021;1810,27
26/06/2021;1830,94
27/06/2021;1983,33
28/06/2021;2083,80
29/06/2021;2165,61
30/06/2021;2276,14
1/07/2021;2109,29
2/07/2021;2155,65
3/07/2021;2227,18
4/07/2021;2323,27
5/07/2021;2196,71
6/07/2021;2322,63
7/07/2021;2317,12
8/07/2021;2114,51
9/07/2021;2145,67
10/07/2021;2110,47
11/07/2021;2140,45
12/07/2021;2032,88
13/07/2021;1940,61
14/07/2021;1994,22
15/07/2021;1918,17
16/07/2021;1877,05
17/07/2021;1899,96
18/07/2021;1891,96
19/07/2021;1818,60
20/07/2021;1786,52
21/07/2021;1994,98
22/07/2021;2024,74
23/07/2021;2125,57
24/07/2021;2185,98
25/07/2021;2194,34
26/07/2021;2228,67
27/07/2021;2301,98
28/07/2021;2301,12
29/07/2021;2383,24
30/07/2021;2463,61
31/07/2021;2531,75
1/08/2021;2556,41
2/08/2021;2608,44
3/08/2021;2508,21
4/08/2021;2725,72
5/08/2021;2829,23
6/08/2021;2892,36
7/08/2021;3162,43
8/08/2021;3013,75
9/08/2021;3164,94
10/08/2021;3141,67
11/08/2021;3163,42
12/08/2021;3047,29
13/08/2021;3324,26
14/08/2021;3266,71
15/08/2021;3311,12
16/08/2021;3147,63
17/08/2021;3011,96
18/08/2021;3013,52
